post_id,created_at,user_name,text,qwen_label
5159752422654712,Sat Apr 26 18:45:04 +0800 2025,深圳楼市小李,4月26日信息差深圳楼市小李的微博视频,其他
5159680150868473,Sat Apr 26 13:57:53 +0800 2025,深圳交警,“五一”起，东部景区恢复预约通行措施→详情请戳☞网页链接,咨询
5159085838701124,Thu Apr 24 22:36:18 +0800 2025,欢乐冲浪指南,来洛阳一边看牡丹花一边当公主离开了洛阳还有谁会这么宠我啊 俺不管 俺要去洛阳当公主#只有在洛阳才能圆我的公主梦#/#洛阳赏花这么玩#/#城市巡游记#欢乐冲浪指南的微博视频,其他
5159230023144306,Fri Apr 25 08:09:14 +0800 2025,成小直,猿辅导武汉，26岁男员工加班猝死在公司。该员工原定于2025年5月2日举办婚礼……现在猝死越来越年轻化，我身边就有！一边是大量年轻人找不着工作一边是公司把一个人当两个人压榨！#猿辅导员工猝死在公司##猿辅导猝死员工原定5月2日办婚礼#,其他
5159058664851547,Thu Apr 24 20:48:19 +0800 2025,安徽消防,#深圳暴雨#【当暴雨来临，应该怎么做？】当暴雨来临，步行、骑车出行，驾车出行，乘坐交通工具等都需要注意些什么？一起来学习下～,咨询
5158724901803543,Wed Apr 23 22:42:04 +0800 2025,地铁客流及运输研究阿牛,#深圳地铁#本周六（2025-4-26）深圳有三场演唱会一场中超足球赛，一场为大运体育中心体育馆（16号线大运中心站）为刀郎的深圳首场演出，一场在宝安体育中心体育馆（1号线宝体站）。一场深圳湾体育中心体育馆（2/11/13号线后海）。球赛在深圳体育中心（2万多人，7/14黄木岗、6号线体育中心、6/7号线八 ...全文,其他
5157663290165759,Mon Apr 21 00:23:36 +0800 2025,予笠-LUEX,跑深圳的两天总共睡了五个小时，吃了一顿汉堡王和一顿早餐饭团。平时连续走日均3w步都没事，但现在身上哪哪都疼翻身都困难啊啊啊！周六排无料取到26号，周日前15名，livehouse在第三排中间，稳稳的很幸福！！而且这一路上遇到的所有人都特别好🥺特别感恩..周六领回信物料结识了几个朋友 ...全文,正面反馈
5164654025771025,Sat May 10 07:22:17 +0800 2025,欥冥冥_予宇山河,我想知道深圳打车这么个涨价速度正常吗？20公里跑了才跑了三分之一欥冥冥_予宇山河的微博视频,咨询
5164508038306068,Fri May 09 21:42:11 +0800 2025,释画Yu_,#刘宇宇宙诗人深圳场#ly#刘宇2025宇宙诗人巡演#我一定能顺利到达的。。。虽然出门的时候下了很大的雨，出租车被追尾了，飞机延误了，但是我一定会到的，你说是吧小刘宇@刘宇Yu_去年能到，明天也能到！,其他
5164356439640675,Fri May 09 11:39:47 +0800 2025,YYL的记事簿,DAY3：总结一下这次的吉隆坡好运之旅吧～①忘带现金和银行卡：俩杭州大学生帮忙取钱；②墨镜掉在了出租车上：师傅饶半城第二天送来酒店；③逛街即将误机：蹭到深圳姐妹叫的车到机场；④垃圾航空没餐没水：遇隔壁马来大哥赠喝,正面反馈
5164353767608273,Fri May 09 11:29:10 +0800 2025,李Mr新能源充电行业,2025 年一季度充电桩 “增量大战”：上海断层第一在城市新增量排行榜上，上海以 13984 个的绝对优势断层第一，相当于每天新增约 155 个公共充电桩，成为全国唯一单季新增破万的城市。作为国际大都市，上海的 “野心” 一目了然：一方面，依托临港新片区、嘉定新能源汽车产业集群，本地车企（如上汽） ...全文,其他
5164334285066102,Fri May 09 10:11:45 +0800 2025,用户7809591454,枢纽内嵌“超级接驳大脑”，东广场“深圳北站城市超脑”大屏实时整合地铁4/5/6号线、18条公交线路、出租车及网约车等候数据，自动推荐最优换乘方案。负一层“风雨连廊”直通龙华商圈，800米范围内可换乘3条地铁线与长途汽车站。针对深夜抵深旅客，N4出口设置通宵巴士专区，22:00至次日6:00提供12条夜间 ...全文,其他
5164318085615240,Fri May 09 09:07:23 +0800 2025,是胡萝卜不是萝卜_,kimjisoo喜欢智秀的第九年🥹终于没有遗憾了，那么近，只有一米不到的距离☺️出发前的那段时间我住院了😅出发前的头一天考试+值班，出发前当天居然差点错过✈️，我想错过我会后悔一辈子怎么形容她带给我的感觉呢🤔🙋🏻♀️她怎么能这么多能量！！！！！！漂亮，温柔，可爱 ...全文,其他
5164195968975918,Fri May 09 01:02:08 +0800 2025,喂猪被猪拱,我发誓我再也不会坐深圳出租车了，16公里收我一百块钱，刚开始问了明细也结结巴巴的不说，下车结算费用的时候我就知道要吵架，在路边跟司机吵了半天还是说的不明不白，气死我了。。下车点还是不对的，，明明我看了导航都没到。。一个人跟司机吵完默默的哭着回去。。深圳出租车你真的很坏。。。。唉我不 ...全文,投诉
5164123559298493,Thu May 08 20:14:24 +0800 2025,因为是王玉_,贵州出行vlog来咯久违的vlog 浅浅的不完整记录了这几天的行程只要出行我俩就很容易拌嘴因为是梁珏的微博视频,其他
